Fist of Legend  ; Cinema Service ; Kang Woo ; Sports ; ancinema;
2013 film ; Universal Studios ; Joseph Kosinski ; Action ; ComingSoon;
 ; Warner Bros. ; Brian Helgeland ; Biography ; ComingSoon;
2012 film ; LD Entertainment ;  Henry Alex ; Crime ; ComingSoon;
s a Disaster ; Oscilloscope Laboratories ; Todd Berger ;  ; oscilloscope;
Scary Movie 5 ; Dimension Films ; Malcolm D. Lee ; Comedy ; ComingSoon;
Java Heat ; IFC Films ;  Conor Allyn  ; center ; megatrailer;
Home Run  ; Samuel Goldwyn Films ; David Boyd  ;  ; ComingSoon;
The Lords of Salem  ; Anchor Bay Films ; Rob Zombie ; Horror ; ComingSoon;
At Any Price  ; Sony Pictures Classics ; Ramin Bahrani ;  ; comingsoon;
Iron Man 3 ; Marvel Studios ; Shane Black ; Action ; ComingSoon;
Arthur Newman  ;  Cinedigm Entertainment  ;  Dante Ariola  ; center ; comingsoon;
2012 film ; Lions Gate Entertainment ; Jeff Nichols ;  ; movieweb;
 ; Paramount Pictures ; Michael Bay ; Action ; ComingSoon;
So Young  ; China Film Group ; Zhao Wei ;  ; ChineseFilms;
The Big Wedding ; Lions Gate Entertainment ; Justin Zackham ; Romantic ; ComingSoon;
The Look of Love  ; Film4 Productions ; Michael Winterbottom ; Comedy ; Odeon;
Bombay Talkies  ; Viacom 18 Motion Pictures ; Anurag Kashyap ; Anthology ; ;
Greetings from Tim Buckley ;  Focus World  ; Daniel Algrant ; Biography ; comingsoon;
Kiss of the Damned ; Magnolia Pictures ; Alexandra Cassavetes ; Drama ; oxofficemojo;
Shootout at Wadala ; Balaji Motion Pictures ; Sanjay Gupta ; Crime ; ;
The Iceman  ; Millennium Entertainment ; Ariel Vromen ; Drama ; oxofficemojo;
What Maisie Knew  ; Millennium Entertainment ; Scott McGehee ;  ; oxofficemojo;
Star Trek Into Darkness ; Paramount Pictures ;  ; Action ; ;
2012 film ; Dimension Films ;  Nicolas Lopez  ;  ; ComingSoon;
Go Goa Gone ; Eros International ; Raj Nidimoru and Krishna D.K. ; center ; ollywoodhungama;
s Way More Famous Than You ; Warner Bros. ; Michael Urie ; Comedy ; ComingSoon;
No One Lives ; Anchor Bay Films ; Ryuhei Kitamura ; Horror ; ComingSoon;
The Great Gatsby  ; Warner Bros. ; Baz Luhrmann ; Drama ; ComingSoon;
Tyler Perry Presents Peeples ; Lions Gate Entertainment ;  Tina Gordon Chism  ;  ; ComingSoon;
 ; Yash Raj Films ;  Atul Sabharwal  ; Action ; ndiatimes;
Black Rock  ; LD Entertainment ; Katie Aselton ; center ; ComingSoon;
 Furious 6 ; Universal Studios ; Justin Lin ; Action ; filmdates;
Frances Ha ; IFC Films ; Noah Baumbach ; Drama ; ndiewire;
The English Teacher  ;  Artina Films  ; Craig Zisk ; Comedy ; ComingSoon;
The Reluctant Fundamentalist  ; Mirabai Films ; Mira Nair ; Political ; ndiatimes;
The Hangover Part III ; Warner Bros. ; Todd Phillips ; Comedy ; [Variety ;
Before Midnight  ; Sony Pictures Classics ; Richard Linklater ;  ; ComingSoon;
 ; 20th Century Fox ; Chris Wedge ; Adventure ; ComingSoon;
Only God Forgives ;  ; Nicolas Winding Refn ; center ; ComingSoon;
After Earth ; Columbia Pictures ;  Night Shyamalan ; Sci ; ComingSoon;
 ;  ; Neil Jordan ; Drama ; filmdates;
Now You See Me  ; Summit Entertainment ; Louis Leterrier ; Crime ; ComingSoon;
The East  ; Fox Searchlight Pictures ; Zal Batmanglij ; Crime ; ComingSoon;
The Kings of Summer ; CBS Films ;  Jordan Vogt ; Comedy ; ComingSoon;
The Purge ; Universal Studios ;  James DeMonaco  ; Sci ; odeon;
Yeh Jawaani Hai Deewani ; Eros International ; Ayan Mukerji ; Romantic ; oxofficeindia;
Hello Herman ; Freestyle Releasing ; Michelle Danner ;  ; oxofficemojo;
Much Ado About Nothing  ; Lions Gate Entertainment ; Joss Whedon ; Comedy ; ComingSoon;
The Internship ; 20th Century Fox ; Shawn Levy ; Comedy ; ComingSoon;
Tiger Eyes  ; Freestyle Releasing ; Lawrence Blume ;  ; ComingSoon;
 ;  GreeneStreet Films  ; Geoffrey S. Fletcher ; Action ; ComingSoon;
This Is the End ; Columbia Pictures ; Evan Goldberg ; Comedy ; ComingSoon;
 ; Excel Entertainment ;  Mrighdeep Singh Lamba  ; Romance ; ollywoodhungama;
Man of Steel  ; Warner Bros. ; Zack Snyder ; Action ; ComingSoon;
The Bling Ring ; A24 Films ; Sofia Coppola ; Comedy ; ComingSoon;
My Little Pony ; Hasbro Studios ;  Jayson Thiessen  ; Comedy ; nytimes;
Despicable Me 2 ; Universal Studios ; Chris Renaud  ; Comedy ; -press;
Monsters University ; Walt Disney Pictures ; Dan Scanlon ; Comedy ; totallyegypt;
This Is Martin Bonner ;  Monterey Media  ; Chad Hartigan ;  ; oxofficemojo;
World War Z  ; Paramount Pictures ; Marc Forster ; center ; ComingSoon;
100 Bloody Acres ;  Cyan Films  ;  Colin Cairnes ;  ; ComingSoon;
2013 film ;  The Film Collective  ; Ronald F. Maxwell ;  ; ComingSoon;
The Heat  ; 20th Century Fox ; Paul Feig ; Action ; ComingSoon;
White House Down ; Columbia Pictures ; Roland Emmerich ; Action ; ComingSoon;
The Lone Ranger  ; Walt Disney Pictures ; Gore Verbinski ; Action ; ComingSoon;
Hammer of the Gods  ; Magnet Releasing ;  Farren Blackburn  ; Action ; ComingSoon;
 ; Balaji Motion Pictures ; Vikramaditya Motwane ; Romantic ; ollywoodhungama;
Stuck in Love ; Millennium Entertainment ; Josh Boone  ; Drama ; ComingSoon;
The Way ; Fox Searchlight Pictures ; Nat Faxon ; Comedy ; ComingSoon;
Bhaag Milkha Bhaag ; Reliance Entertainment ; Rakeysh Omprakash Mehra ; Biographical ; ollywoodhungama;
Dealing with Idiots ; IFC Films ; Jeff Garlin ; Comedy ; ;
Fruitvale Station ; The Weinstein Company ; Ryan Coogler ; Drama ; ComingSoon;
Grown Ups 2 ; Columbia Pictures ; Dennis Dugan ; Comedy ; ComingSoon;
Killing Season  ;  Millennium Films  ; Mark Steven Johnson ; Action ; ComingSoon;
Pacific Rim  ; Warner Bros. ; Guillermo del Toro ; Action ; fangoria;
 ; Magnolia Pictures ; Adam Wingard ; Horror ; ComingSoon;
ExtremeSpeed Genesect ;  ; Kunihiko Yuyama ; Anime ; animenewsnetwork;
 ; 20th Century Fox ; David Soren  ; Comedy ; TheHollywoodReporter;
2013 film ; DAR motion pictures ; Nikhil Advani ; Crime ; ollywoodhungama;
Girl Most Likely ; Lions Gate Entertainment ; Robert Pulcini ; Comedy ; ComingSoon;
RED 2  ; Summit Entertainment ; Dean Parisot ; Action ; ComingSoon;
 ; Universal Pictures ; Robert Schwentke ; Action ; ComingSoon;
The Conjuring  ; Warner Bros. ; James Wan ; Thriller ; ComingSoon;
The World ; Focus Features ; Edgar Wright ;  ; ;
The Wolverine  ; 20th Century Fox ; James Mangold ; Action ; ComingSoon;
Blue Jasmine ; Sony Pictures Classics ; Woody Allen ; Drama ; ;
The To Do List ; CBS Films ;  Maggie Carey  ; Comedy ; ComingSoon;
The Smurfs 2 ; Columbia Pictures ; Raja Gosnell ; Adventure ; ComingSoon;
2 Guns ; Universal Studios ; Baltasar Korm ; Action ; ComingSoon;
Europa Report ;  Wayfare Entertainment  ; n Cordero ; Science ; ComingSoon;
The Canyons  ; IFC Films ; Paul Schrader ; Drama ; ComingSoon;
The Spectacular Now ; A24 Films ; James Ponsoldt ; Drama ; ComingSoon;
Percy Jackson ; 20th Century Fox ; Thor Freudenthal ; Adventure ; ComingSoon;
re the Millers ; Warner Bros. ; Rawson Thurber ; Comedy ; ComingSoon;
